timestamp,airspeed_filtered,mc_weights[0],mc_weights[1],mc_weights[2],mc_weights[3],vtol_in_rw_mode,vtol_in_trans_mode,in_transition_to_fw,vtol_transition_failsafe,fw_permanent_stab
1902022952,-1.4974968,1.0,1.0,1.0,1.0,1,0,0,0,0
1902423239,-1.6110055,1.0,1.0,1.0,1.0,1,0,0,0,0
1902622204,-1.7331415,1.0,1.0,1.0,1.0,1,0,0,0,0
1902823578,-1.7726468,1.0,1.0,1.0,1.0,1,0,0,0,0
1903025015,-1.5676957,1.0,1.0,1.0,1.0,1,0,0,0,0
1903223963,-1.6359394,1.0,1.0,1.0,1.0,1,0,0,0,0
1903422819,-1.69235,1.0,1.0,1.0,1.0,1,0,0,0,0
1903621781,-1.6391171,1.0,1.0,1.0,1.0,1,0,0,0,0
1903823206,-1.3749174,1.0,1.0,1.0,1.0,1,0,0,0,0
1904022133,-1.4766126,1.0,1.0,1.0,1.0,1,0,0,0,0
1904223543,-1.4608359,1.0,1.0,1.0,1.0,1,0,0,0,0
1904424991,-1.2302719,1.0,1.0,1.0,1.0,1,0,0,0,0
1904623905,-1.290876,1.0,1.0,1.0,1.0,1,0,0,0,0
1904822803,-0.9110508,1.0,1.0,1.0,1.0,1,0,0,0,0
1905021698,-0.6633507,1.0,1.0,1.0,1.0,1,0,0,0,0
1905223211,-0.19871517,1.0,1.0,1.0,1.0,1,0,0,0,0
1905422071,0.11042712,1.0,1.0,1.0,1.0,1,0,0,0,0
1905623466,-0.40642527,1.0,1.0,1.0,1.0,1,0,0,0,0
1905824848,-0.5765468,1.0,1.0,1.0,1.0,1,0,0,0,0
1906023823,-0.75662637,1.0,1.0,1.0,1.0,1,0,0,0,0
1906222790,-0.8748514,1.0,1.0,1.0,1.0,1,0,0,0,0
1906421677,-0.99714214,1.0,1.0,1.0,1.0,1,0,0,0,0
1906623080,-1.0982068,1.0,1.0,1.0,1.0,1,0,0,0,0
1906821955,-0.8631793,1.0,1.0,1.0,1.0,1,0,0,0,0
1907023383,-0.645229,1.0,1.0,1.0,1.0,1,0,0,0,0
1907224791,-0.61369556,1.0,1.0,1.0,1.0,1,0,0,0,0
1907423734,-0.75671524,1.0,1.0,1.0,1.0,1,0,0,0,0
1907622812,-0.86587864,1.0,1.0,1.0,1.0,1,0,0,0,0
1907821792,-1.1656666,1.0,1.0,1.0,1.0,1,0,0,0,0
1908023145,-1.303678,1.0,1.0,1.0,1.0,1,0,0,0,0
1908222236,-1.6029222,1.0,1.0,1.0,1.0,1,0,0,0,0
1908425984,-1.6650479,1.0,1.0,1.0,1.0,1,0,0,0,0
1908824104,-1.3840292,1.0,1.0,1.0,1.0,1,0,0,0,0
1909023048,-1.3272028,1.0,1.0,1.0,1.0,1,0,0,0,0
1909222015,-1.0820599,1.0,1.0,1.0,1.0,1,0,0,0,0
1909422908,-0.84584504,1.0,1.0,1.0,1.0,1,0,0,0,0
1909621883,-0.90655273,1.0,1.0,1.0,1.0,1,0,0,0,0
1909823263,-0.6347016,1.0,1.0,1.0,1.0,1,0,0,0,0
1910024664,-0.6286403,1.0,1.0,1.0,1.0,1,0,0,0,0
1910223645,-0.05574636,1.0,1.0,1.0,1.0,1,0,0,0,0
1910422471,-0.15017968,1.0,1.0,1.0,1.0,1,0,0,0,0
1910621402,-0.08644041,1.0,1.0,1.0,1.0,1,0,0,0,0
1910822856,-0.36771145,1.0,1.0,1.0,1.0,1,0,0,0,0
1911021799,-0.45362523,1.0,1.0,1.0,1.0,1,0,0,0,0
1911225731,-0.33723828,1.0,1.0,1.0,1.0,1,0,0,0,0
1911424576,-0.5733994,1.0,1.0,1.0,1.0,1,0,0,0,0
1911623504,-0.1346322,1.0,1.0,1.0,1.0,1,0,0,0,0
1911822531,-0.3854445,1.0,1.0,1.0,1.0,1,0,0,0,0
1912021312,-0.6588959,1.0,1.0,1.0,1.0,1,0,0,0,0
1912222836,-0.6249673,1.0,1.0,1.0,1.0,1,0,0,0,0
1912421716,-0.51776177,1.0,1.0,1.0,1.0,1,0,0,0,0
1912625544,-0.31328502,1.0,1.0,1.0,1.0,1,0,0,0,0
1912824531,-0.05045371,1.0,1.0,1.0,1.0,1,0,0,0,0
1913023483,-0.073695645,1.0,1.0,1.0,1.0,1,0,0,0,0
1913222377,0.007124899,1.0,1.0,1.0,1.0,1,0,0,0,0
1913423787,-0.17443252,1.0,1.0,1.0,1.0,1,0,0,0,0
1913622678,-0.484476,1.0,1.0,1.0,1.0,1,0,0,0,0
1913821630,-0.7407773,1.0,1.0,1.0,1.0,1,0,0,0,0
1914025514,-0.9524751,1.0,1.0,1.0,1.0,1,0,0,0,0
1914224488,-1.1274854,1.0,1.0,1.0,1.0,1,0,0,0,0
1914423346,-0.8636756,1.0,1.0,1.0,1.0,1,0,0,0,0
1914622316,-1.0540994,1.0,1.0,1.0,1.0,1,0,0,0,0
1914823716,-1.0851024,1.0,1.0,1.0,1.0,1,0,0,0,0
1915022612,-1.1709032,1.0,1.0,1.0,1.0,1,0,0,0,0
1915221565,-1.4235674,1.0,1.0,1.0,1.0,1,0,0,0,0
1915425454,-1.416958,1.0,1.0,1.0,1.0,1,0,0,0,0
1915624337,-1.6488268,1.0,1.0,1.0,1.0,1,0,0,0,0
1915823323,-1.7643199,1.0,1.0,1.0,1.0,1,0,0,0,0
1916022194,-1.7984377,1.0,1.0,1.0,1.0,1,0,0,0,0
1916223660,-1.9264733,1.0,1.0,1.0,1.0,1,0,0,0,0
1916422594,-2.0694988,1.0,1.0,1.0,1.0,1,0,0,0,0
1916621546,-2.0506468,1.0,1.0,1.0,1.0,1,0,0,0,0
1916820442,-2.013988,1.0,1.0,1.0,1.0,1,0,0,0,0
1917024272,-1.8448234,1.0,1.0,1.0,1.0,1,0,0,0,0
1917223275,-1.5625207,1.0,1.0,1.0,1.0,1,0,0,0,0
1917422160,-1.151062,1.0,1.0,1.0,1.0,1,0,0,0,0
1917623599,-1.1316105,1.0,1.0,1.0,1.0,1,0,0,0,0
1917822474,-1.0849593,1.0,1.0,1.0,1.0,1,0,0,0,0
1918021403,-1.0289394,1.0,1.0,1.0,1.0,1,0,0,0,0
1918225314,-1.090861,1.0,1.0,1.0,1.0,1,0,0,0,0
1918424232,-1.2418555,1.0,1.0,1.0,1.0,1,0,0,0,0
1918623176,-1.6250336,1.0,1.0,1.0,1.0,1,0,0,0,0
1918822195,-1.6833198,1.0,1.0,1.0,1.0,1,0,0,0,0
1919023668,-1.77905,1.0,1.0,1.0,1.0,1,0,0,0,0
1919222677,-1.9530799,1.0,1.0,1.0,1.0,1,0,0,0,0
1919421593,-1.997667,1.0,1.0,1.0,1.0,1,0,0,0,0
1919625447,-2.1314504,1.0,1.0,1.0,1.0,1,0,0,0,0
1919822004,-2.1018503,1.0,1.0,1.0,1.0,1,0,0,0,0
1920023425,-1.7595794,1.0,1.0,1.0,1.0,1,0,0,0,0
1920222418,-1.5080854,1.0,1.0,1.0,1.0,1,0,0,0,0
1920423888,-1.1785494,1.0,1.0,1.0,1.0,1,0,0,0,0
1920622956,-1.0057545,1.0,1.0,1.0,1.0,1,0,0,0,0
1920821242,-0.8632248,1.0,1.0,1.0,1.0,1,0,0,0,0
1921025678,-1.053725,1.0,1.0,1.0,1.0,1,0,0,0,0
1921224062,-1.2111635,1.0,1.0,1.0,1.0,1,0,0,0,0
1921423048,-1.020879,1.0,1.0,1.0,1.0,1,0,0,0,0
1921624356,-1.0239923,1.0,1.0,1.0,1.0,1,0,0,0,0
1921823347,-1.0958488,1.0,1.0,1.0,1.0,1,0,0,0,0
1922022270,-1.0132473,1.0,1.0,1.0,1.0,1,0,0,0,0
1922221237,-0.8385703,1.0,1.0,1.0,1.0,1,0,0,0,0
1922425115,-1.0333722,1.0,1.0,1.0,1.0,1,0,0,0,0
1922624040,-0.7857938,1.0,1.0,1.0,1.0,1,0,0,0,0
1922822935,-0.8329631,1.0,1.0,1.0,1.0,1,0,0,0,0
1923021860,-0.28314242,1.0,1.0,1.0,1.0,1,0,0,0,0
1923223247,-0.5674041,1.0,1.0,1.0,1.0,1,0,0,0,0
1923422163,-0.48922613,1.0,1.0,1.0,1.0,1,0,0,0,0
1923621116,-0.045720156,1.0,1.0,1.0,1.0,1,0,0,0,0
1923825028,0.32080975,1.0,1.0,1.0,1.0,1,0,0,0,0
1924023947,-0.008994446,1.0,1.0,1.0,1.0,1,0,0,0,0
1924222894,-0.34780633,1.0,1.0,1.0,1.0,1,0,0,0,0
1924424269,-0.3076905,1.0,1.0,1.0,1.0,1,0,0,0,0
1924623190,-0.019271284,1.0,1.0,1.0,1.0,1,0,0,0,0
1924822104,-0.29007033,1.0,1.0,1.0,1.0,1,0,0,0,0
1925021014,-0.42309242,1.0,1.0,1.0,1.0,1,0,0,0,0
1925224956,-0.38122287,1.0,1.0,1.0,1.0,1,0,0,0,0
1925423857,-0.2773989,1.0,1.0,1.0,1.0,1,0,0,0,0
1925622777,0.057316955,1.0,1.0,1.0,1.0,1,0,0,0,0
1925824179,0.20314878,1.0,1.0,1.0,1.0,1,0,0,0,0
1926023167,-0.33797878,1.0,1.0,1.0,1.0,1,0,0,0,0
1926222083,-0.06562147,1.0,1.0,1.0,1.0,1,0,0,0,0
1926420953,-0.12615038,1.0,1.0,1.0,1.0,1,0,0,0,0
1926624854,-0.39858517,1.0,1.0,1.0,1.0,1,0,0,0,0
1926823839,-0.14629447,1.0,1.0,1.0,1.0,1,0,0,0,0
1927022721,-0.08325089,1.0,1.0,1.0,1.0,1,0,0,0,0
1927224134,-0.054098025,1.0,1.0,1.0,1.0,1,0,0,0,0
1927423088,-0.02160442,1.0,1.0,1.0,1.0,1,0,0,0,0
1927619527,0.01632677,1.0,1.0,1.0,1.0,1,0,0,0,0
1927820943,0.09447061,1.0,1.0,1.0,1.0,1,0,0,0,0
1928024836,-0.16242543,1.0,1.0,1.0,1.0,1,0,0,0,0
1928223726,-0.67347544,1.0,1.0,1.0,1.0,1,0,0,0,0
1928422606,-1.0345132,1.0,1.0,1.0,1.0,1,0,0,0,0
1928624025,-1.1387012,1.0,1.0,1.0,1.0,1,0,0,0,0
1928822990,-1.281391,1.0,1.0,1.0,1.0,1,0,0,0,0
1929021884,-1.3085694,1.0,1.0,1.0,1.0,1,0,0,0,0
1929220807,-1.3651991,1.0,1.0,1.0,1.0,1,0,0,0,0
1929422247,-1.311621,1.0,1.0,1.0,1.0,1,0,0,0,0
1929623692,-1.4243019,1.0,1.0,1.0,1.0,1,0,0,0,0
1929822696,-1.5606977,1.0,1.0,1.0,1.0,1,0,0,0,0
1930024073,-1.6733668,1.0,1.0,1.0,1.0,1,0,0,0,0
1930223117,-1.7232721,1.0,1.0,1.0,1.0,1,0,0,0,0
1930422067,-1.812064,1.0,1.0,1.0,1.0,1,0,0,0,0
