timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
208071595,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
209077306,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
210056231,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
211061107,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
212065686,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
213070654,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
214075867,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
215054545,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
216060284,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
217065777,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
218071611,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
219076826,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
220055875,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
221061869,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
222068343,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
223074327,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
224079865,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
225058086,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
226063909,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
227068523,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
228073981,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
229079352,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
230058421,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
231064463,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
232069986,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
233075166,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
234054987,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
235060574,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
236066237,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
237070882,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
238075792,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
239080661,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
240059915,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
241065594,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
242071002,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
243077022,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
244055387,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
245060832,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
246066495,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
247071850,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
248077121,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
249056891,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
250062217,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
251067939,7562769,0.2,200.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
252073466,7562769,0.2,200.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,25
